PacmanMove,totalTime,score,pacmanCurrentNodeIndex,pacmanLastMoveMade,ghost1NodeIndex,ghost1EdibleTime,ghost1LairTime,ghost1LastMove,ghost2NodeIndex,ghost2EdibleTime,ghost2LairTime,ghost2LastMove,ghost3NodeIndex,ghost3EdibleTime,ghost3LairTime,ghost3LastMove,ghost4NodeIndex,ghost4EdibleTime,ghost4LairTime,ghost4LastMove,timeOfLastGlobalReversal,pacmanWasEaten,ghost1Eaten,ghost2Eaten,ghost3Eaten,ghost4Eaten,scoreDiff10,scoreDiff25,scoreDiff50,ghost1Distance,ghost2Distance,ghost3Distance,ghost4Distance,euclideanDistanceToPp,pathDistanceToPp,remainingPp
LEFT,46,160,165,DOWN,492,0,0,LEFT,1292,0,14,NEUTRAL,1292,0,34,NEUTRAL,1292,0,54,NEUTRAL,-1,false,false,false,false,false,30,70,-1,52,-1,-1,-1,80,80,3
DOWN,58,190,153,LEFT,480,0,0,LEFT,1292,0,2,NEUTRAL,1292,0,22,NEUTRAL,1292,0,42,NEUTRAL,-1,false,false,false,false,false,30,70,170,52,-1,-1,-1,92,92,3
DOWN,74,230,348,DOWN,365,0,0,RIGHT,512,0,0,RIGHT,1292,0,6,NEUTRAL,1292,0,26,NEUTRAL,-1,false,false,false,false,false,30,70,130,52,65,-1,-1,95,95,3
DOWN,86,260,456,DOWN,314,0,0,UP,524,0,0,RIGHT,492,0,0,LEFT,1292,0,14,NEUTRAL,-1,false,false,false,false,false,30,70,130,52,65,36,-1,98,98,3
DOWN,110,320,691,DOWN,201,0,0,RIGHT,572,0,0,DOWN,598,0,0,DOWN,488,0,0,LEFT,-1,false,false,false,false,false,30,70,130,100,41,36,56,40,40,3
RIGHT,122,350,810,DOWN,315,0,0,DOWN,660,0,0,DOWN,586,0,0,LEFT,554,0,0,DOWN,-1,false,false,false,false,false,30,70,130,113,41,36,56,29,29,3
DOWN,146,410,834,RIGHT,442,0,0,DOWN,915,0,0,DOWN,691,0,0,LEFT,708,0,0,RIGHT,-1,false,false,false,false,false,30,70,130,76,76,36,32,42,42,3
LEFT,158,440,960,DOWN,571,0,0,DOWN,1012,0,0,LEFT,810,0,0,DOWN,779,0,0,DOWN,-1,false,false,false,false,false,30,70,130,76,52,36,32,35,35,3
DOWN,170,470,948,LEFT,607,0,0,RIGHT,1000,0,0,LEFT,936,0,0,DOWN,842,0,0,LEFT,-1,false,false,false,false,false,30,70,130,89,52,12,32,25,25,3
LEFT,194,530,1211,DOWN,749,0,0,RIGHT,976,0,0,LEFT,1096,0,0,DOWN,956,0,0,LEFT,-1,false,false,false,false,false,30,70,130,89,52,12,32,21,21,3
UP,246,700,936,RIGHT,763,175,0,LEFT,921,175,0,UP,1209,175,0,RIGHT,904,175,0,UP,221,false,false,false,false,false,30,110,170,39,26,38,6,93,93,2
RIGHT,258,920,810,UP,757,163,0,LEFT,897,163,0,UP,1215,163,0,RIGHT,1292,0,35,NEUTRAL,221,false,false,false,false,false,220,260,360,33,28,52,-1,96,96,2
RIGHT,282,920,834,RIGHT,745,139,0,LEFT,842,139,0,RIGHT,1169,139,0,UP,1292,0,11,NEUTRAL,221,false,false,false,false,false,0,0,260,69,8,56,-1,73,73,2
RIGHT,306,1320,716,UP,635,115,0,UP,1292,0,27,NEUTRAL,1101,115,0,RIGHT,511,0,0,RIGHT,221,false,false,false,false,false,0,400,400,52,-1,68,53,68,68,2
DOWN,318,1320,728,RIGHT,609,103,0,LEFT,1292,0,15,NEUTRAL,1107,103,0,RIGHT,567,0,0,DOWN,221,false,false,false,false,false,0,400,400,34,-1,74,29,59,59,2
DOWN,342,1330,859,RIGHT,579,79,0,UP,507,0,0,RIGHT,1037,79,0,UP,653,0,0,DOWN,221,false,false,false,false,false,10,10,410,50,69,38,53,42,42,2
LEFT,354,1360,996,DOWN,555,67,0,UP,551,0,0,DOWN,968,67,0,LEFT,748,0,0,RIGHT,221,false,false,false,false,false,30,40,40,68,69,28,53,35,35,2
LEFT,366,1390,984,LEFT,450,55,0,UP,628,0,0,DOWN,962,55,0,LEFT,793,0,0,DOWN,221,false,false,false,false,false,30,70,70,86,69,22,53,46,46,2
LEFT,378,1400,972,LEFT,426,43,0,UP,737,0,0,LEFT,913,43,0,UP,911,0,0,DOWN,221,false,false,false,false,false,10,50,80,104,69,16,53,58,58,2
UP,390,1420,960,LEFT,388,31,0,RIGHT,725,0,0,LEFT,889,31,0,UP,1013,0,0,LEFT,221,false,false,false,false,false,20,40,100,98,45,10,53,69,69,2
LEFT,402,1420,834,UP,394,19,0,RIGHT,775,0,0,DOWN,838,19,0,RIGHT,1069,0,0,DOWN,221,false,false,false,false,false,0,30,70,92,21,4,67,73,73,2
DOWN,426,1420,810,LEFT,274,0,0,UP,893,0,0,DOWN,783,0,0,UP,1278,0,0,RIGHT,221,false,false,false,false,false,0,0,30,106,27,43,104,96,96,2
RIGHT,438,1420,936,DOWN,107,0,0,UP,957,0,0,LEFT,723,0,0,RIGHT,1290,0,0,RIGHT,221,false,false,false,false,false,0,0,0,120,21,67,106,93,93,2
DOWN,449,1440,165,DOWN,1292,0,38,NEUTRAL,1292,0,58,NEUTRAL,1292,0,78,NEUTRAL,1292,0,98,NEUTRAL,221,false,false,false,false,false,20,20,20,-1,-1,-1,-1,80,80,2
RIGHT,477,1510,361,RIGHT,1292,0,10,NEUTRAL,1292,0,30,NEUTRAL,1292,0,50,NEUTRAL,1292,0,70,NEUTRAL,221,false,false,false,false,false,30,70,90,-1,-1,-1,-1,72,72,2
LEFT,505,1580,189,UP,516,0,0,RIGHT,1292,0,2,NEUTRAL,1292,0,22,NEUTRAL,1292,0,42,NEUTRAL,221,false,false,false,false,false,30,70,130,52,-1,-1,-1,56,56,2
LEFT,517,1610,177,LEFT,386,0,0,UP,488,0,0,LEFT,1292,0,10,NEUTRAL,1292,0,30,NEUTRAL,221,false,false,false,false,false,30,70,130,52,60,-1,-1,68,68,2
LEFT,529,1630,165,LEFT,398,0,0,RIGHT,441,0,0,UP,496,0,0,LEFT,1292,0,18,NEUTRAL,221,false,false,false,false,false,20,60,120,76,36,56,-1,80,80,2
DOWN,541,1630,153,LEFT,268,0,0,UP,357,0,0,LEFT,484,0,0,LEFT,1292,0,6,NEUTRAL,221,false,false,false,false,false,0,30,90,73,36,56,-1,92,92,2
