Intersección (153,): 0.047690
Intersección (165,): 1.694418
Intersección (177,): -1.001602
Intersección (189,): -1.263122
Intersección (201,): -0.404692
Intersección (213,): -0.053262
Intersección (225,): 8.809468
Intersección (237,): -2.741587
Intersección (348,): -10.170179
Intersección (361,): 0.102187
Intersección (386,): -0.164274
Intersección (399,): -1.378888
Intersección (456,): -5.054763
Intersección (480,): 0.773038
Intersección (516,): -1.296490
Intersección (540,): 0.014026
Intersección (598,): 2.344852
Intersección (599,): -0.869173
Intersección (691,): 0.857910
Intersección (716,): 0.774249
Intersección (728,): -0.446265
Intersección (753,): 0.017428
Intersección (810,): -4.446009
Intersección (834,): -0.202289
Intersección (859,): -0.763185
Intersección (883,): -0.561205
Intersección (936,): -0.266956
Intersección (948,): 0.977397
Intersección (960,): -0.519611
Intersección (972,): 0.152758
Intersección (984,): 0.057778
Intersección (996,): -0.585125
Intersección (1008,): -0.667882
Intersección (1020,): 2.542869
Intersección (1211,): 5.151491
Intersección (1223,): 0.381596
Intersección (1259,): -0.041019
Intersección (1271,): 0.413905
