Intersección (153,): 0.156052
Intersección (165,): 0.021039
Intersección (177,): 0.017404
Intersección (189,): 0.028807
Intersección (201,): -0.123011
Intersección (213,): 0.017671
Intersección (225,): 0.027394
Intersección (237,): 0.258546
Intersección (348,): 0.085492
Intersección (361,): 0.380064
Intersección (386,): -0.055194
Intersección (399,): 0.116150
Intersección (456,): 0.050064
Intersección (480,): 0.141717
Intersección (516,): 0.014304
Intersección (540,): 0.170221
Intersección (598,): 0.017876
Intersección (599,): 0.036272
Intersección (691,): -0.063919
Intersección (716,): 0.014024
Intersección (728,): -0.032052
Intersección (753,): -0.103392
Intersección (810,): 0.039081
Intersección (834,): 0.013606
Intersección (859,): -0.051404
Intersección (883,): -0.010510
Intersección (936,): 0.013490
Intersección (948,): 0.020078
Intersección (960,): -0.032100
Intersección (972,): 0.093538
Intersección (984,): -0.049885
Intersección (996,): 0.019353
Intersección (1008,): 0.157241
Intersección (1020,): -0.099681
Intersección (1211,): -0.037820
Intersección (1223,): -0.018316
Intersección (1259,): -0.089338
Intersección (1271,): -0.154521
