Intersección (153,): -2.150771
Intersección (165,): 1.738583
Intersección (177,): 1.348512
Intersección (189,): 0.328994
Intersección (201,): -1.612370
Intersección (213,): 1.225037
Intersección (225,): -0.028518
Intersección (237,): 1.050876
Intersección (348,): 1.147812
Intersección (361,): -0.086987
Intersección (386,): -0.851217
Intersección (399,): -0.941580
Intersección (456,): 2.381963
Intersección (480,): 0.703577
Intersección (516,): 1.996596
Intersección (540,): 0.951182
Intersección (598,): -1.191974
Intersección (599,): -0.961225
Intersección (691,): 0.643012
Intersección (716,): 0.249339
Intersección (728,): 0.026099
Intersección (753,): -0.696931
Intersección (810,): 2.029231
Intersección (834,): 0.317970
Intersección (859,): 0.515651
Intersección (883,): -0.819005
Intersección (936,): 1.680626
Intersección (948,): -0.496586
Intersección (960,): -0.090911
Intersección (972,): -0.036073
Intersección (984,): -0.200151
Intersección (996,): 0.623675
Intersección (1008,): -1.052965
Intersección (1020,): -0.670322
Intersección (1211,): 3.377678
Intersección (1223,): 0.221825
Intersección (1259,): 0.030148
Intersección (1271,): -1.299276
