Intersección (153,): -0.127958
Intersección (165,): -0.259195
Intersección (177,): 0.367759
Intersección (189,): -0.183326
Intersección (201,): -0.083838
Intersección (213,): -0.059828
Intersección (225,): -0.305797
Intersección (237,): -0.232931
Intersección (348,): 9.740978
Intersección (361,): -1.618990
Intersección (386,): -1.060979
Intersección (399,): 2.824782
Intersección (456,): -0.226588
Intersección (480,): -0.454717
Intersección (516,): -1.145023
Intersección (540,): -0.617966
Intersección (598,): 1.559339
Intersección (599,): -1.058773
Intersección (691,): -0.652117
Intersección (716,): 0.056013
Intersección (728,): 0.159410
Intersección (753,): -0.127269
Intersección (810,): -0.059732
Intersección (834,): 0.036212
Intersección (859,): -1.012345
Intersección (883,): -0.136871
Intersección (936,): -0.128291
Intersección (948,): -0.240972
Intersección (960,): 0.015691
Intersección (972,): 0.117924
Intersección (984,): 1.111628
Intersección (996,): 0.075768
Intersección (1008,): 0.030438
Intersección (1020,): 0.158689
Intersección (1211,): -0.790365
Intersección (1223,): -0.021269
Intersección (1259,): -0.095870
Intersección (1271,): -0.837636
