Intersección (153,): -0.022794
Intersección (165,): -0.167426
Intersección (177,): 0.000975
Intersección (189,): -0.023810
Intersección (201,): 0.216320
Intersección (213,): -0.103340
Intersección (225,): -0.006176
Intersección (237,): 0.019409
Intersección (348,): 0.030177
Intersección (361,): -0.087990
Intersección (386,): -0.024354
Intersección (399,): -0.019894
Intersección (456,): -0.059309
Intersección (480,): -0.000718
Intersección (516,): -0.008489
Intersección (540,): 0.034015
Intersección (598,): 0.025094
Intersección (599,): 0.020323
Intersección (691,): 0.003350
Intersección (716,): -0.002597
Intersección (728,): 0.022492
Intersección (753,): -0.205101
Intersección (810,): -0.014656
Intersección (834,): -0.012933
Intersección (859,): 0.079523
Intersección (883,): -0.006933
Intersección (936,): -0.115736
Intersección (948,): 0.233338
Intersección (960,): 0.063240
Intersección (972,): 0.041119
Intersección (984,): 0.069828
Intersección (996,): -0.013430
Intersección (1008,): -0.034445
Intersección (1020,): -0.134935
Intersección (1211,): 0.020013
Intersección (1223,): 0.003180
Intersección (1259,): 0.001481
Intersección (1271,): 0.061518
