Intersección (153,): 0.000485
Intersección (165,): -0.027705
Intersección (177,): -0.036179
Intersección (189,): -0.007463
Intersección (201,): 0.009475
Intersección (213,): 0.002516
Intersección (225,): 0.018744
Intersección (237,): 0.001938
Intersección (348,): 0.059022
Intersección (361,): -0.078245
Intersección (386,): -0.027372
Intersección (399,): 0.081639
Intersección (456,): -0.027687
Intersección (480,): -0.021407
Intersección (516,): 0.000650
Intersección (540,): -0.007581
Intersección (598,): -0.049773
Intersección (599,): -0.054990
Intersección (691,): -0.001306
Intersección (716,): -0.004671
Intersección (728,): 0.003978
Intersección (753,): -0.027557
Intersección (810,): 0.008670
Intersección (834,): -0.000193
Intersección (859,): -0.020807
Intersección (883,): -0.002402
Intersección (936,): -0.016829
Intersección (948,): -0.017492
Intersección (960,): -0.167223
Intersección (972,): 0.022326
Intersección (984,): 0.060001
Intersección (996,): 0.037301
Intersección (1008,): -0.010934
Intersección (1020,): -0.006588
Intersección (1211,): -0.017023
Intersección (1223,): 0.003503
Intersección (1259,): 0.062155
Intersección (1271,): -0.032225
