Intersección (153,): 2.051738
Intersección (165,): 3.797448
Intersección (177,): -1.071791
Intersección (189,): -3.487184
Intersección (201,): 2.854804
Intersección (213,): 0.658858
Intersección (225,): 1.330171
Intersección (237,): -1.474022
Intersección (348,): -0.031549
Intersección (361,): 3.458831
Intersección (386,): 3.116323
Intersección (399,): 2.075698
Intersección (456,): 1.667523
Intersección (480,): 0.117075
Intersección (516,): 0.223915
Intersección (540,): 0.880377
Intersección (598,): -12.078016
Intersección (599,): -5.132425
Intersección (691,): -3.214977
Intersección (716,): 1.133488
Intersección (728,): -2.789933
Intersección (753,): -6.635261
Intersección (810,): -0.574271
Intersección (834,): -0.808175
Intersección (859,): -2.478399
Intersección (883,): 0.204616
Intersección (936,): -1.823384
Intersección (948,): 1.558894
Intersección (960,): 4.334434
Intersección (972,): 0.513199
Intersección (984,): 2.640137
Intersección (996,): 1.295152
Intersección (1008,): 0.121909
Intersección (1020,): 0.106876
Intersección (1211,): -5.559039
Intersección (1223,): 0.490075
Intersección (1259,): -6.392277
Intersección (1271,): 0.272227
