Intersección (153,): -0.036850
Intersección (165,): -0.035215
Intersección (177,): -0.085818
Intersección (189,): 0.005034
Intersección (201,): -0.312658
Intersección (213,): 0.033724
Intersección (225,): -0.089692
Intersección (237,): -0.155660
Intersección (348,): -0.122566
Intersección (361,): -0.562039
Intersección (386,): 0.044372
Intersección (399,): 0.051170
Intersección (456,): -0.071798
Intersección (480,): 0.099901
Intersección (516,): -0.027697
Intersección (540,): 0.016780
Intersección (598,): 0.002077
Intersección (599,): -0.054444
Intersección (691,): 0.030035
Intersección (716,): -0.033031
Intersección (728,): 0.032909
Intersección (753,): -0.034968
Intersección (810,): 0.042968
Intersección (834,): 0.012133
Intersección (859,): 0.028758
Intersección (883,): 0.018267
Intersección (936,): 0.005642
Intersección (948,): 0.011878
Intersección (960,): -0.036236
Intersección (972,): 0.006016
Intersección (984,): -0.022688
Intersección (996,): 0.006425
Intersección (1008,): 0.024256
Intersección (1020,): 0.021657
Intersección (1211,): 0.027429
Intersección (1223,): -0.000077
Intersección (1259,): -0.012332
Intersección (1271,): 0.005034
