Intersección (153,): -2.047545
Intersección (165,): -1.046661
Intersección (177,): 1.163328
Intersección (189,): 8.993579
Intersección (201,): 1.720657
Intersección (213,): 4.112347
Intersección (225,): 2.521745
Intersección (237,): -4.754982
Intersección (348,): 1.392849
Intersección (361,): -1.938825
Intersección (386,): 0.619418
Intersección (399,): 0.859251
Intersección (456,): 1.825424
Intersección (480,): -0.787909
Intersección (516,): -2.298251
Intersección (540,): -1.099741
Intersección (598,): 1.644967
Intersección (599,): -1.549466
Intersección (691,): 0.722194
Intersección (716,): 0.753939
Intersección (728,): 2.203465
Intersección (753,): -3.577830
Intersección (810,): 2.782010
Intersección (834,): 0.772867
Intersección (859,): -3.977013
Intersección (883,): 0.945255
Intersección (936,): 0.509698
Intersección (948,): 1.859888
Intersección (960,): -3.097937
Intersección (972,): 1.120891
Intersección (984,): 0.554483
Intersección (996,): -1.218032
Intersección (1008,): -0.887090
Intersección (1020,): -0.500716
Intersección (1211,): -7.812897
Intersección (1223,): 0.424782
Intersección (1259,): 6.653523
Intersección (1271,): 1.396042
