Intersección (153,): 0.062924
Intersección (165,): 0.010499
Intersección (177,): -0.054208
Intersección (189,): -0.009392
Intersección (201,): 0.042516
Intersección (213,): -0.045084
Intersección (225,): -0.037812
Intersección (237,): 0.074072
Intersección (348,): 0.007813
Intersección (361,): 0.059032
Intersección (386,): -0.111862
Intersección (399,): 0.065384
Intersección (456,): 0.031440
Intersección (480,): -0.036034
Intersección (516,): -0.001878
Intersección (540,): -0.009053
Intersección (598,): 0.088823
Intersección (599,): -0.058154
Intersección (691,): 0.033898
Intersección (716,): 0.023854
Intersección (728,): -0.061872
Intersección (753,): -0.023907
Intersección (810,): -0.005117
Intersección (834,): 0.006685
Intersección (859,): -0.037132
Intersección (883,): -0.017242
Intersección (936,): 0.005772
Intersección (948,): 0.017673
Intersección (960,): 0.048784
Intersección (972,): -0.009407
Intersección (984,): -0.010688
Intersección (996,): -0.012096
Intersección (1008,): -0.036940
Intersección (1020,): 0.009235
Intersección (1211,): 0.011597
Intersección (1223,): 0.000118
Intersección (1259,): -0.002832
Intersección (1271,): -0.009227
