Intersección (153,): -0.481394
Intersección (165,): 0.094683
Intersección (177,): 0.167191
Intersección (189,): 0.572857
Intersección (201,): 0.291961
Intersección (213,): 0.418298
Intersección (225,): 0.520656
Intersección (237,): -0.421317
Intersección (348,): -0.422543
Intersección (361,): 0.415787
Intersección (386,): -0.138076
Intersección (399,): 0.000000
Intersección (456,): 0.000000
Intersección (480,): 0.594832
Intersección (516,): -0.428049
Intersección (540,): 0.479381
Intersección (598,): 0.363830
Intersección (599,): 0.000000
Intersección (691,): -0.588008
Intersección (716,): -0.149527
Intersección (728,): -0.067012
Intersección (753,): 0.630464
Intersección (810,): 0.000000
Intersección (834,): 0.003964
Intersección (859,): -0.116911
Intersección (883,): -0.176714
Intersección (936,): 0.265512
Intersección (948,): 0.088910
Intersección (960,): -0.002645
Intersección (972,): 1.712037
Intersección (984,): 0.443819
Intersección (996,): 1.097904
Intersección (1008,): -0.047801
Intersección (1020,): -0.655280
Intersección (1211,): 0.557996
Intersección (1223,): 0.431495
Intersección (1259,): 0.113250
Intersección (1271,): -0.853564
