Intersección (153,): 0.576247
Intersección (165,): -0.008381
Intersección (177,): 0.000000
Intersección (189,): 0.004053
Intersección (201,): 0.001378
Intersección (213,): 0.000000
Intersección (225,): -0.003555
Intersección (237,): 0.196733
Intersección (348,): 0.006612
Intersección (361,): -3.212192
Intersección (386,): -1.356179
Intersección (399,): -0.000190
Intersección (456,): 0.496650
Intersección (480,): -0.041402
Intersección (516,): -0.339294
Intersección (540,): 0.907003
Intersección (598,): -0.604852
Intersección (599,): 1.198660
Intersección (691,): -1.866824
Intersección (716,): 0.196615
Intersección (728,): 0.420972
Intersección (753,): -0.330056
Intersección (810,): -0.634014
Intersección (834,): -0.073403
Intersección (859,): -1.182009
Intersección (883,): -0.029922
Intersección (936,): 0.000000
Intersección (948,): -0.004923
Intersección (960,): 0.000000
Intersección (972,): 1.145475
Intersección (984,): -0.167551
Intersección (996,): 0.000000
Intersección (1008,): 0.004089
Intersección (1020,): 0.000000
Intersección (1211,): 0.000000
Intersección (1223,): 0.000000
Intersección (1259,): 0.000000
Intersección (1271,): 0.000000
