Intersección (153,): 0.301381
Intersección (165,): 0.828543
Intersección (177,): 0.255645
Intersección (189,): 0.910041
Intersección (201,): -1.084718
Intersección (213,): 0.215795
Intersección (225,): 0.230277
Intersección (237,): 0.189063
Intersección (348,): -4.558236
Intersección (361,): -0.319448
Intersección (386,): -4.371419
Intersección (399,): 0.545073
Intersección (456,): -0.241519
Intersección (480,): 0.857208
Intersección (516,): 0.209692
Intersección (540,): 0.829306
Intersección (598,): 7.539738
Intersección (599,): 0.613109
Intersección (691,): 2.710549
Intersección (716,): 0.674927
Intersección (728,): 0.033416
Intersección (753,): -0.091448
Intersección (810,): 0.409797
Intersección (834,): -4.074173
Intersección (859,): 0.997610
Intersección (883,): 0.251210
Intersección (936,): -0.935037
Intersección (948,): 0.861203
Intersección (960,): 2.450353
Intersección (972,): 3.163360
Intersección (984,): -0.031127
Intersección (996,): 0.564268
Intersección (1008,): 0.082796
Intersección (1020,): 1.279136
Intersección (1211,): 1.177808
Intersección (1223,): -0.142806
Intersección (1259,): 3.222914
Intersección (1271,): -0.358935
