Intersección (153,): -4.568811
Intersección (165,): -3.117987
Intersección (177,): 1.981157
Intersección (189,): 18.611992
Intersección (201,): -4.539597
Intersección (213,): 0.581112
Intersección (225,): 3.757895
Intersección (237,): 1.608773
Intersección (348,): -7.204593
Intersección (361,): 3.132676
Intersección (386,): 0.499697
Intersección (399,): -3.969430
Intersección (456,): -9.287002
Intersección (480,): -3.709047
Intersección (516,): 0.012931
Intersección (540,): 4.513638
Intersección (598,): -10.230381
Intersección (599,): -13.897293
Intersección (691,): -2.459424
Intersección (716,): 1.380747
Intersección (728,): 4.846365
Intersección (753,): 2.715513
Intersección (810,): -1.209613
Intersección (834,): -2.665513
Intersección (859,): -12.874241
Intersección (883,): -0.598160
Intersección (936,): 4.655119
Intersección (948,): -1.439097
Intersección (960,): -14.262393
Intersección (972,): -1.160970
Intersección (984,): -0.951496
Intersección (996,): 5.395858
Intersección (1008,): 8.740373
Intersección (1020,): 1.752462
Intersección (1211,): -0.253373
Intersección (1223,): 2.483989
Intersección (1259,): -13.653764
Intersección (1271,): 13.507851
