Intersección (153,): -0.026392
Intersección (165,): -0.042891
Intersección (177,): -0.099581
Intersección (189,): -0.023313
Intersección (201,): -0.385815
Intersección (213,): 0.006594
Intersección (225,): 0.145760
Intersección (237,): 0.127810
Intersección (348,): 0.000000
Intersección (361,): -0.485188
Intersección (386,): -0.439353
Intersección (399,): 0.039266
Intersección (456,): -0.013932
Intersección (480,): -0.005358
Intersección (516,): -0.013505
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.105565
Intersección (691,): 0.017899
Intersección (716,): 0.117940
Intersección (728,): 0.173733
Intersección (753,): 0.003054
Intersección (810,): 0.002785
Intersección (834,): 0.081971
Intersección (859,): 0.111332
Intersección (883,): -0.005491
Intersección (936,): 0.036319
Intersección (948,): 0.043129
Intersección (960,): 0.050211
Intersección (972,): 0.062416
Intersección (984,): 0.300085
Intersección (996,): 0.005590
Intersección (1008,): 0.139258
Intersección (1020,): 0.096695
Intersección (1211,): 0.339834
Intersección (1223,): -0.052086
Intersección (1259,): -0.133858
Intersección (1271,): 0.162245
