Intersección (153,): 0.364177
Intersección (165,): 0.323433
Intersección (177,): 0.060491
Intersección (189,): 0.607141
Intersección (201,): -0.291520
Intersección (213,): 0.195081
Intersección (225,): 0.143395
Intersección (237,): 0.000000
Intersección (348,): -0.214264
Intersección (361,): 0.245976
Intersección (386,): 0.037340
Intersección (399,): -0.123898
Intersección (456,): -0.084137
Intersección (480,): -0.084702
Intersección (516,): 0.054863
Intersección (540,): 0.025484
Intersección (598,): 0.471846
Intersección (599,): -0.153272
Intersección (691,): -0.123385
Intersección (716,): -0.043458
Intersección (728,): 0.421519
Intersección (753,): -0.041475
Intersección (810,): -0.135563
Intersección (834,): 0.210290
Intersección (859,): 0.129437
Intersección (883,): -0.116886
Intersección (936,): 0.257233
Intersección (948,): 0.394780
Intersección (960,): -0.272376
Intersección (972,): 0.141415
Intersección (984,): -0.023615
Intersección (996,): -0.188788
Intersección (1008,): 0.063559
Intersección (1020,): -0.174952
Intersección (1211,): -0.109880
Intersección (1223,): 0.017603
Intersección (1259,): 0.169240
Intersección (1271,): 0.067720
