Intersección (153,): 0.002560
Intersección (165,): -0.003871
Intersección (177,): -0.007548
Intersección (189,): 0.015694
Intersección (201,): -0.031615
Intersección (213,): 0.009220
Intersección (225,): 0.000000
Intersección (237,): 0.062288
Intersección (348,): 0.010226
Intersección (361,): -0.008457
Intersección (386,): -0.005022
Intersección (399,): 0.000000
Intersección (456,): 0.009363
Intersección (480,): 0.045906
Intersección (516,): -0.022730
Intersección (540,): -0.004285
Intersección (598,): -0.021900
Intersección (599,): 0.028730
Intersección (691,): 0.023676
Intersección (716,): -0.017724
Intersección (728,): -0.020301
Intersección (753,): -0.002273
Intersección (810,): 0.000000
Intersección (834,): -0.051830
Intersección (859,): 0.000000
Intersección (883,): 0.000000
Intersección (936,): 0.045380
Intersección (948,): 0.000000
Intersección (960,): -0.063561
Intersección (972,): 0.000000
Intersección (984,): -0.013654
Intersección (996,): -0.021939
Intersección (1008,): -0.266609
Intersección (1020,): -0.030573
Intersección (1211,): -0.028295
Intersección (1223,): -0.021664
Intersección (1259,): -0.026976
Intersección (1271,): 0.006547
