Intersección (153,): -0.011748
Intersección (165,): -0.020182
Intersección (177,): 0.035723
Intersección (189,): 0.018925
Intersección (201,): 0.000000
Intersección (213,): 0.068682
Intersección (225,): 0.019718
Intersección (237,): 0.119914
Intersección (348,): 0.000000
Intersección (361,): -0.005892
Intersección (386,): -0.009273
Intersección (399,): 0.017964
Intersección (456,): -0.073920
Intersección (480,): 0.100838
Intersección (516,): -0.032467
Intersección (540,): 0.004656
Intersección (598,): 0.038052
Intersección (599,): 0.010560
Intersección (691,): -0.065551
Intersección (716,): -0.093646
Intersección (728,): -0.020020
Intersección (753,): -0.019761
Intersección (810,): -0.002216
Intersección (834,): 0.126945
Intersección (859,): -0.008047
Intersección (883,): -0.021013
Intersección (936,): -0.017177
Intersección (948,): -0.061694
Intersección (960,): 0.026561
Intersección (972,): 0.000000
Intersección (984,): 0.031971
Intersección (996,): -0.013879
Intersección (1008,): -0.178298
Intersección (1020,): -0.054806
Intersección (1211,): -0.017894
Intersección (1223,): -0.010785
Intersección (1259,): -0.032330
Intersección (1271,): -0.011284
