Intersección (153,): -0.804665
Intersección (165,): 0.207770
Intersección (177,): 0.093904
Intersección (189,): 0.532702
Intersección (201,): 0.049449
Intersección (213,): 3.487855
Intersección (225,): -0.502033
Intersección (237,): 6.865856
Intersección (348,): -0.965558
Intersección (361,): 0.381876
Intersección (386,): 0.066246
Intersección (399,): 3.824320
Intersección (456,): 0.110553
Intersección (480,): 0.582846
Intersección (516,): -0.132851
Intersección (540,): -0.408170
Intersección (598,): -1.165681
Intersección (599,): -1.369544
Intersección (691,): -2.291696
Intersección (716,): -0.862581
Intersección (728,): 0.025201
Intersección (753,): -0.398948
Intersección (810,): 3.044987
Intersección (834,): 1.285716
Intersección (859,): 0.600254
Intersección (883,): 0.600943
Intersección (936,): 4.021534
Intersección (948,): -4.177811
Intersección (960,): -0.205597
Intersección (972,): 6.588531
Intersección (984,): 0.377501
Intersección (996,): 8.706909
Intersección (1008,): 3.165810
Intersección (1020,): 1.728567
Intersección (1211,): -1.196253
Intersección (1223,): -3.535639
Intersección (1259,): 1.164395
Intersección (1271,): 8.126811
