Intersección (153,): -0.913477
Intersección (165,): -0.057478
Intersección (177,): -0.713651
Intersección (189,): -0.106941
Intersección (201,): -1.837675
Intersección (213,): -3.760152
Intersección (225,): 0.050787
Intersección (237,): -0.095745
Intersección (348,): 1.681431
Intersección (361,): 0.034070
Intersección (386,): -0.237881
Intersección (399,): -2.388775
Intersección (456,): 0.364490
Intersección (480,): -0.018078
Intersección (516,): -0.047320
Intersección (540,): -1.433290
Intersección (598,): -0.233973
Intersección (599,): -0.469766
Intersección (691,): -0.036507
Intersección (716,): 0.026592
Intersección (728,): 0.157136
Intersección (753,): 0.004395
Intersección (810,): 0.379615
Intersección (834,): -0.470845
Intersección (859,): -0.540773
Intersección (883,): -0.031435
Intersección (936,): -4.311577
Intersección (948,): -0.135964
Intersección (960,): 0.757169
Intersección (972,): 3.118298
Intersección (984,): -0.310597
Intersección (996,): 1.621490
Intersección (1008,): 0.483334
Intersección (1020,): 0.155227
Intersección (1211,): -0.180312
Intersección (1223,): -4.166940
Intersección (1259,): -0.091756
Intersección (1271,): 0.648536
