Intersección (153,): -0.322559
Intersección (165,): -0.002979
Intersección (177,): 0.012038
Intersección (189,): -0.445333
Intersección (201,): -0.153363
Intersección (213,): 0.058929
Intersección (225,): -0.000491
Intersección (237,): -0.043226
Intersección (348,): -0.256384
Intersección (361,): 0.189090
Intersección (386,): 0.007387
Intersección (399,): 0.333226
Intersección (456,): 0.050163
Intersección (480,): 0.001241
Intersección (516,): -0.024373
Intersección (540,): -0.340238
Intersección (598,): -0.322317
Intersección (599,): -0.192904
Intersección (691,): 0.021517
Intersección (716,): -0.056913
Intersección (728,): 0.019753
Intersección (753,): -0.006510
Intersección (810,): -0.180171
Intersección (834,): 0.416128
Intersección (859,): 0.154535
Intersección (883,): -0.118566
Intersección (936,): -0.024031
Intersección (948,): 0.097204
Intersección (960,): -0.255428
Intersección (972,): -0.689109
Intersección (984,): -0.330471
Intersección (996,): -0.068742
Intersección (1008,): 0.394140
Intersección (1020,): -0.004156
Intersección (1211,): -0.164161
Intersección (1223,): -0.097924
Intersección (1259,): 0.180631
Intersección (1271,): 0.254745
