Intersección (153,): -0.392927
Intersección (165,): -0.001256
Intersección (177,): 0.172508
Intersección (189,): -1.957513
Intersección (201,): 0.614388
Intersección (213,): -0.688092
Intersección (225,): -0.048485
Intersección (237,): -0.088404
Intersección (348,): -0.014012
Intersección (361,): -0.036906
Intersección (386,): 0.010572
Intersección (399,): 0.469083
Intersección (456,): 0.354976
Intersección (480,): -0.122685
Intersección (516,): 0.231895
Intersección (540,): -0.302084
Intersección (598,): 0.458733
Intersección (599,): -0.004794
Intersección (691,): -0.039096
Intersección (716,): -0.017941
Intersección (728,): 1.191026
Intersección (753,): 0.036613
Intersección (810,): -0.483178
Intersección (834,): -0.122847
Intersección (859,): -0.887849
Intersección (883,): 0.029796
Intersección (936,): -0.294759
Intersección (948,): -0.249526
Intersección (960,): -0.050991
Intersección (972,): 1.808686
Intersección (984,): -0.213808
Intersección (996,): -0.047527
Intersección (1008,): 0.709578
Intersección (1020,): 0.035091
Intersección (1211,): -0.006095
Intersección (1223,): 0.079273
Intersección (1259,): 0.428610
Intersección (1271,): -0.230153
