Intersección (153,): 3.939504
Intersección (165,): 0.649526
Intersección (177,): 0.074898
Intersección (189,): -63.131973
Intersección (201,): 0.684492
Intersección (213,): 8.470759
Intersección (225,): -0.108369
Intersección (237,): 2.520516
Intersección (348,): 10.778402
Intersección (361,): -1.399225
Intersección (386,): 2.574307
Intersección (399,): 2.576143
Intersección (456,): -0.045641
Intersección (480,): -0.441299
Intersección (516,): -0.237152
Intersección (540,): -2.035111
Intersección (598,): 6.229814
Intersección (599,): 3.819879
Intersección (691,): 0.285457
Intersección (716,): 0.092837
Intersección (728,): 1.321527
Intersección (753,): 0.397019
Intersección (810,): -2.327006
Intersección (834,): 3.771751
Intersección (859,): -1.680051
Intersección (883,): 1.219348
Intersección (936,): 3.245212
Intersección (948,): 0.582154
Intersección (960,): 1.572874
Intersección (972,): 10.324740
Intersección (984,): -1.444668
Intersección (996,): 2.400286
Intersección (1008,): 2.496089
Intersección (1020,): 0.036845
Intersección (1211,): 0.389730
Intersección (1223,): 3.718314
Intersección (1259,): 0.598604
Intersección (1271,): 0.809032
