Intersección (153,): -0.289631
Intersección (165,): 0.320638
Intersección (177,): -1.296639
Intersección (189,): 0.594898
Intersección (201,): -0.095133
Intersección (213,): -6.290093
Intersección (225,): 0.100332
Intersección (237,): 0.558690
Intersección (348,): 9.958722
Intersección (361,): 0.745852
Intersección (386,): 0.205978
Intersección (399,): 0.679734
Intersección (456,): 0.736850
Intersección (480,): -0.589120
Intersección (516,): -0.010358
Intersección (540,): 0.273598
Intersección (598,): 0.861352
Intersección (599,): 0.027191
Intersección (691,): 0.085439
Intersección (716,): 0.253415
Intersección (728,): -0.192494
Intersección (753,): 0.541586
Intersección (810,): -8.867021
Intersección (834,): 2.780726
Intersección (859,): 3.149961
Intersección (883,): -0.158548
Intersección (936,): -0.059790
Intersección (948,): -2.106276
Intersección (960,): 1.104108
Intersección (972,): 18.135245
Intersección (984,): 8.166236
Intersección (996,): -2.186202
Intersección (1008,): 1.616510
Intersección (1020,): 0.176788
Intersección (1211,): 0.565929
Intersección (1223,): 0.276790
Intersección (1259,): 4.119146
Intersección (1271,): -0.864551
