Intersección (153,): 0.842816
Intersección (165,): -0.321439
Intersección (177,): 3.483226
Intersección (189,): -15.265819
Intersección (201,): 0.557629
Intersección (213,): -16.623417
Intersección (225,): 0.240914
Intersección (237,): 5.273092
Intersección (348,): -0.004279
Intersección (361,): -5.411138
Intersección (386,): 0.253231
Intersección (399,): -0.445691
Intersección (456,): 0.412348
Intersección (480,): -1.004994
Intersección (516,): -0.029688
Intersección (540,): -1.039828
Intersección (598,): -2.496039
Intersección (599,): -0.448491
Intersección (691,): 0.191909
Intersección (716,): 1.063088
Intersección (728,): -0.610557
Intersección (753,): -0.273210
Intersección (810,): -7.005263
Intersección (834,): 1.977964
Intersección (859,): -0.845451
Intersección (883,): 1.265072
Intersección (936,): -4.085796
Intersección (948,): 3.436023
Intersección (960,): 0.369366
Intersección (972,): -2.579781
Intersección (984,): 1.132056
Intersección (996,): 14.708310
Intersección (1008,): 1.129610
Intersección (1020,): 2.156134
Intersección (1211,): 1.083037
Intersección (1223,): -2.644003
Intersección (1259,): -0.121101
Intersección (1271,): -9.058283
