Intersección (153,): 0.739112
Intersección (165,): 0.018563
Intersección (177,): 0.025850
Intersección (189,): -3.410872
Intersección (201,): 0.373302
Intersección (213,): 0.287600
Intersección (225,): -0.022342
Intersección (237,): -0.047343
Intersección (348,): 0.890675
Intersección (361,): 0.062818
Intersección (386,): 0.016900
Intersección (399,): 0.534779
Intersección (456,): -0.045802
Intersección (480,): 0.064615
Intersección (516,): -0.021883
Intersección (540,): -0.382523
Intersección (598,): 0.247639
Intersección (599,): -0.029000
Intersección (691,): -0.004759
Intersección (716,): -0.026212
Intersección (728,): -0.268776
Intersección (753,): 0.045759
Intersección (810,): -0.544733
Intersección (834,): 0.027109
Intersección (859,): -0.354204
Intersección (883,): 0.064798
Intersección (936,): 0.401244
Intersección (948,): -0.193887
Intersección (960,): 0.134783
Intersección (972,): 2.648956
Intersección (984,): -0.136429
Intersección (996,): 0.181272
Intersección (1008,): 0.310736
Intersección (1020,): -0.049318
Intersección (1211,): 0.181833
Intersección (1223,): 0.589705
Intersección (1259,): -1.254817
Intersección (1271,): 0.212337
