Intersección (153,): 0.021409
Intersección (165,): -0.000877
Intersección (177,): -0.034917
Intersección (189,): -0.554044
Intersección (201,): 2.033346
Intersección (213,): 0.008094
Intersección (225,): 0.001059
Intersección (237,): -0.009684
Intersección (348,): -1.824791
Intersección (361,): 0.024504
Intersección (386,): -0.044762
Intersección (399,): -0.000769
Intersección (456,): -0.073171
Intersección (480,): 0.006099
Intersección (516,): 0.015269
Intersección (540,): 0.375712
Intersección (598,): 0.079283
Intersección (599,): -0.027541
Intersección (691,): 0.003890
Intersección (716,): 0.014412
Intersección (728,): 0.049203
Intersección (753,): 0.001897
Intersección (810,): 0.277946
Intersección (834,): -0.048294
Intersección (859,): 0.200830
Intersección (883,): -0.005329
Intersección (936,): 0.111289
Intersección (948,): -1.479779
Intersección (960,): 0.079180
Intersección (972,): -0.081496
Intersección (984,): 0.488797
Intersección (996,): 0.061975
Intersección (1008,): 0.020747
Intersección (1020,): 0.013523
Intersección (1211,): 0.020443
Intersección (1223,): -0.101719
Intersección (1259,): 0.249624
Intersección (1271,): -0.033088
