Intersección (153,): -0.446967
Intersección (165,): 0.091807
Intersección (177,): -0.205799
Intersección (189,): -0.560483
Intersección (201,): 0.182440
Intersección (213,): -4.932453
Intersección (225,): -0.058520
Intersección (237,): -0.172381
Intersección (348,): -0.642681
Intersección (361,): -0.097628
Intersección (386,): 0.009030
Intersección (399,): 2.373084
Intersección (456,): 0.023066
Intersección (480,): -0.023384
Intersección (516,): 0.049825
Intersección (540,): 0.085279
Intersección (598,): 0.811898
Intersección (599,): -0.604444
Intersección (691,): -0.001279
Intersección (716,): -0.440051
Intersección (728,): 0.187380
Intersección (753,): 0.046219
Intersección (810,): -0.006458
Intersección (834,): 0.446225
Intersección (859,): 0.038183
Intersección (883,): -0.062746
Intersección (936,): -0.161155
Intersección (948,): 0.144403
Intersección (960,): -0.238968
Intersección (972,): -1.012275
Intersección (984,): 0.162248
Intersección (996,): 0.203640
Intersección (1008,): 0.301825
Intersección (1020,): 0.093332
Intersección (1211,): 0.046902
Intersección (1223,): -0.024791
Intersección (1259,): -0.829795
Intersección (1271,): 0.142032
