Intersección (153,): 2.080002
Intersección (165,): 0.053264
Intersección (177,): -0.045074
Intersección (189,): -0.541845
Intersección (201,): -0.277394
Intersección (213,): 0.304639
Intersección (225,): -0.003279
Intersección (237,): 0.086070
Intersección (348,): 0.352666
Intersección (361,): 0.113255
Intersección (386,): 0.019794
Intersección (399,): 0.409466
Intersección (456,): -0.000042
Intersección (480,): -0.107615
Intersección (516,): -0.029259
Intersección (540,): -0.192989
Intersección (598,): 0.744387
Intersección (599,): -0.270115
Intersección (691,): 0.016945
Intersección (716,): -0.033497
Intersección (728,): 0.088788
Intersección (753,): -0.026255
Intersección (810,): -0.417879
Intersección (834,): -0.359018
Intersección (859,): 0.438391
Intersección (883,): -0.358274
Intersección (936,): 0.068164
Intersección (948,): -0.036984
Intersección (960,): -0.022100
Intersección (972,): 1.772278
Intersección (984,): -0.141552
Intersección (996,): 0.174603
Intersección (1008,): 0.134218
Intersección (1020,): -0.002346
Intersección (1211,): 0.018048
Intersección (1223,): 0.387844
Intersección (1259,): -0.809615
Intersección (1271,): -0.128981
