Intersección (153,): 0.582801
Intersección (165,): -0.024774
Intersección (177,): -0.435063
Intersección (189,): 2.048261
Intersección (201,): 0.084765
Intersección (213,): 2.092949
Intersección (225,): -0.098096
Intersección (237,): 0.149879
Intersección (348,): 0.143061
Intersección (361,): -0.181292
Intersección (386,): -0.016764
Intersección (399,): -0.682550
Intersección (456,): 0.142567
Intersección (480,): 0.041420
Intersección (516,): 0.055367
Intersección (540,): -1.366906
Intersección (598,): -0.069277
Intersección (599,): -0.395710
Intersección (691,): -0.015373
Intersección (716,): -0.463511
Intersección (728,): 0.120162
Intersección (753,): 0.007387
Intersección (810,): -0.075751
Intersección (834,): 0.038588
Intersección (859,): -0.618256
Intersección (883,): -0.083481
Intersección (936,): 0.040762
Intersección (948,): 0.157863
Intersección (960,): 0.358055
Intersección (972,): -0.855155
Intersección (984,): 0.085782
Intersección (996,): -0.067101
Intersección (1008,): 1.865617
Intersección (1020,): 0.000715
Intersección (1211,): 0.002201
Intersección (1223,): -0.572217
Intersección (1259,): -0.640009
Intersección (1271,): -0.773650
