Intersección (153,): -0.042339
Intersección (165,): -0.039728
Intersección (177,): 0.046318
Intersección (189,): -0.098765
Intersección (201,): 0.486728
Intersección (213,): 0.669202
Intersección (225,): -0.010645
Intersección (237,): -0.172203
Intersección (348,): 0.236740
Intersección (361,): -0.237798
Intersección (386,): -0.046857
Intersección (399,): 0.175685
Intersección (456,): 0.033816
Intersección (480,): -0.120690
Intersección (516,): 0.010630
Intersección (540,): 0.468908
Intersección (598,): 0.038162
Intersección (599,): 0.279886
Intersección (691,): -0.026580
Intersección (716,): -0.045586
Intersección (728,): -0.109602
Intersección (753,): 0.007865
Intersección (810,): 0.501184
Intersección (834,): -0.160577
Intersección (859,): -0.444350
Intersección (883,): -0.011013
Intersección (936,): 0.198363
Intersección (948,): 0.109332
Intersección (960,): 0.032845
Intersección (972,): -1.541814
Intersección (984,): -0.139251
Intersección (996,): 0.239405
Intersección (1008,): 0.190180
Intersección (1020,): 0.057573
Intersección (1211,): -0.011386
Intersección (1223,): -0.040997
Intersección (1259,): 0.041076
Intersección (1271,): 0.111828
