Intersección (153,): 0.728015
Intersección (165,): 2.256930
Intersección (177,): -2.945510
Intersección (189,): 1.166750
Intersección (201,): -0.705541
Intersección (213,): -3.352772
Intersección (225,): 0.164521
Intersección (237,): 1.059775
Intersección (348,): 6.473134
Intersección (361,): 1.751590
Intersección (386,): 0.309946
Intersección (399,): 0.973844
Intersección (456,): 0.078709
Intersección (480,): -1.705544
Intersección (516,): -0.041318
Intersección (540,): 0.097771
Intersección (598,): 0.728340
Intersección (599,): -4.609330
Intersección (691,): -0.110306
Intersección (716,): 0.794266
Intersección (728,): 0.518312
Intersección (753,): 0.273709
Intersección (810,): 0.235898
Intersección (834,): -0.603527
Intersección (859,): 0.435629
Intersección (883,): 0.653798
Intersección (936,): -0.757683
Intersección (948,): -0.759271
Intersección (960,): -0.103515
Intersección (972,): -0.273449
Intersección (984,): 1.267978
Intersección (996,): 6.425869
Intersección (1008,): 1.518399
Intersección (1020,): -0.502417
Intersección (1211,): 0.188059
Intersección (1223,): 2.178774
Intersección (1259,): 1.819515
Intersección (1271,): -3.955896
