Intersección (153,): -1.868153
Intersección (165,): -0.071911
Intersección (177,): 22.237492
Intersección (189,): 1.036141
Intersección (201,): -1.080770
Intersección (213,): -4.032044
Intersección (225,): 0.118490
Intersección (237,): 0.868240
Intersección (348,): 0.178389
Intersección (361,): 2.690587
Intersección (386,): 0.486040
Intersección (399,): 7.745268
Intersección (456,): -0.021078
Intersección (480,): -0.016374
Intersección (516,): -0.097793
Intersección (540,): -0.682284
Intersección (598,): 2.978376
Intersección (599,): -0.111744
Intersección (691,): 0.337708
Intersección (716,): 0.089514
Intersección (728,): -1.520132
Intersección (753,): -0.115479
Intersección (810,): -15.309665
Intersección (834,): 2.037575
Intersección (859,): -0.522011
Intersección (883,): 0.573700
Intersección (936,): 5.859478
Intersección (948,): 0.299612
Intersección (960,): 19.914520
Intersección (972,): -8.202786
Intersección (984,): 27.527939
Intersección (996,): -2.192774
Intersección (1008,): -0.954191
Intersección (1020,): 2.342984
Intersección (1211,): 0.058894
Intersección (1223,): -1.279385
Intersección (1259,): -0.687389
Intersección (1271,): -3.066881
