Intersección (153,): 2.530214
Intersección (165,): 0.728016
Intersección (177,): 1.046212
Intersección (189,): 3.434239
Intersección (201,): -1.972546
Intersección (213,): -21.314871
Intersección (225,): 0.078176
Intersección (237,): -0.756884
Intersección (348,): -18.149334
Intersección (361,): -1.071153
Intersección (386,): 0.119823
Intersección (399,): 2.525233
Intersección (456,): 3.201201
Intersección (480,): 0.213873
Intersección (516,): -0.109332
Intersección (540,): 1.277094
Intersección (598,): 2.168640
Intersección (599,): 0.768956
Intersección (691,): 0.055837
Intersección (716,): -0.290081
Intersección (728,): 0.356036
Intersección (753,): -0.045517
Intersección (810,): 1.994925
Intersección (834,): 1.772897
Intersección (859,): -2.550884
Intersección (883,): -0.183913
Intersección (936,): -0.727795
Intersección (948,): 1.787935
Intersección (960,): 1.151975
Intersección (972,): -2.766021
Intersección (984,): 2.178886
Intersección (996,): -11.069400
Intersección (1008,): 3.511270
Intersección (1020,): -0.004844
Intersección (1211,): 0.622799
Intersección (1223,): -13.898741
Intersección (1259,): 2.362882
Intersección (1271,): -0.194906
