Intersección (153,): -0.091085
Intersección (165,): 0.067612
Intersección (177,): -0.121866
Intersección (189,): -0.574820
Intersección (201,): 1.263059
Intersección (213,): 1.574585
Intersección (225,): 0.009160
Intersección (237,): 0.017384
Intersección (348,): 3.645207
Intersección (361,): -0.057403
Intersección (386,): -0.084894
Intersección (399,): 0.992639
Intersección (456,): 0.090628
Intersección (480,): 0.007593
Intersección (516,): -0.003239
Intersección (540,): 0.246487
Intersección (598,): 0.020605
Intersección (599,): 0.118809
Intersección (691,): 0.006639
Intersección (716,): -0.049595
Intersección (728,): 0.077498
Intersección (753,): -0.024040
Intersección (810,): 0.082571
Intersección (834,): 0.663722
Intersección (859,): 0.245110
Intersección (883,): -0.007274
Intersección (936,): -0.114756
Intersección (948,): 0.147655
Intersección (960,): 0.112919
Intersección (972,): -1.139414
Intersección (984,): 0.391222
Intersección (996,): -0.157690
Intersección (1008,): -0.403138
Intersección (1020,): -0.022080
Intersección (1211,): 0.065626
Intersección (1223,): -0.203627
Intersección (1259,): -0.033511
Intersección (1271,): 0.348985
