Intersección (153,): 0.670309
Intersección (165,): 0.010092
Intersección (177,): 0.034930
Intersección (189,): 0.720195
Intersección (201,): 0.154695
Intersección (213,): -0.629913
Intersección (225,): -0.017347
Intersección (237,): -0.464341
Intersección (348,): 0.552422
Intersección (361,): -0.036264
Intersección (386,): -0.011204
Intersección (399,): 0.430413
Intersección (456,): 0.014165
Intersección (480,): 0.002862
Intersección (516,): 0.010725
Intersección (540,): -1.162282
Intersección (598,): 0.148497
Intersección (599,): 0.144096
Intersección (691,): -0.017313
Intersección (716,): 0.014302
Intersección (728,): -0.243443
Intersección (753,): -0.095380
Intersección (810,): 1.240490
Intersección (834,): 0.075333
Intersección (859,): 0.019687
Intersección (883,): -0.007780
Intersección (936,): 0.284132
Intersección (948,): 0.220285
Intersección (960,): -0.430682
Intersección (972,): -0.236940
Intersección (984,): 0.003125
Intersección (996,): -0.026282
Intersección (1008,): 0.131055
Intersección (1020,): -0.006366
Intersección (1211,): -0.017932
Intersección (1223,): 0.393541
Intersección (1259,): 0.304744
Intersección (1271,): 0.039756
