Intersección (153,): -2.358840
Intersección (165,): 0.359739
Intersección (177,): -1.629874
Intersección (189,): 0.279371
Intersección (201,): 0.033937
Intersección (213,): 3.310351
Intersección (225,): -0.584232
Intersección (237,): 7.101600
Intersección (348,): -0.856837
Intersección (361,): 0.192586
Intersección (386,): 0.042101
Intersección (399,): 5.452834
Intersección (456,): 0.042845
Intersección (480,): 0.503128
Intersección (516,): -0.164586
Intersección (540,): 0.259727
Intersección (598,): 0.129495
Intersección (599,): -2.009112
Intersección (691,): -2.295058
Intersección (716,): -1.012771
Intersección (728,): -1.642704
Intersección (753,): -0.438560
Intersección (810,): 1.538366
Intersección (834,): 1.122498
Intersección (859,): 0.595642
Intersección (883,): 0.264441
Intersección (936,): 6.138165
Intersección (948,): -2.962045
Intersección (960,): 0.382604
Intersección (972,): 8.450128
Intersección (984,): 1.032968
Intersección (996,): 8.513480
Intersección (1008,): 4.004620
Intersección (1020,): 1.713829
Intersección (1211,): -1.350296
Intersección (1223,): -3.901946
Intersección (1259,): -2.662682
Intersección (1271,): 8.114446
