Intersección (153,): 2.762500
Intersección (165,): 0.169504
Intersección (177,): -4.140020
Intersección (189,): -5.029651
Intersección (201,): 2.084662
Intersección (213,): 61.485064
Intersección (225,): -0.080390
Intersección (237,): -0.476480
Intersección (348,): -4.839810
Intersección (361,): 0.777440
Intersección (386,): -0.702455
Intersección (399,): -0.989123
Intersección (456,): -0.192908
Intersección (480,): -0.201055
Intersección (516,): 0.227290
Intersección (540,): 4.377585
Intersección (598,): 0.427788
Intersección (599,): -1.369395
Intersección (691,): -0.191681
Intersección (716,): -1.112880
Intersección (728,): -0.215782
Intersección (753,): 0.237137
Intersección (810,): 1.065519
Intersección (834,): -1.090059
Intersección (859,): -5.088936
Intersección (883,): 0.165001
Intersección (936,): -0.713210
Intersección (948,): 12.967749
Intersección (960,): -10.091483
Intersección (972,): 9.742514
Intersección (984,): -0.308375
Intersección (996,): 1.758160
Intersección (1008,): -5.543431
Intersección (1020,): 0.729635
Intersección (1211,): -1.085610
Intersección (1223,): 2.521330
Intersección (1259,): -9.445435
Intersección (1271,): -1.468508
