Intersección (153,): 30.252178
Intersección (165,): 38.974081
Intersección (177,): 8.062236
Intersección (189,): -318.899284
Intersección (201,): 7.905361
Intersección (213,): -118.782269
Intersección (225,): 4.353680
Intersección (237,): 9.334823
Intersección (348,): 23.107847
Intersección (361,): 0.673109
Intersección (386,): 6.216967
Intersección (399,): -15.448482
Intersección (456,): 21.335405
Intersección (480,): 0.703303
Intersección (516,): 0.305190
Intersección (540,): -5.738374
Intersección (598,): 14.340980
Intersección (599,): 1.442949
Intersección (691,): 0.643506
Intersección (716,): 4.323085
Intersección (728,): 2.257664
Intersección (753,): -1.074561
Intersección (810,): -19.077490
Intersección (834,): -67.841259
Intersección (859,): 8.340176
Intersección (883,): 23.049889
Intersección (936,): 3.611358
Intersección (948,): -10.932968
Intersección (960,): 7.764334
Intersección (972,): 26.435076
Intersección (984,): 8.189895
Intersección (996,): -34.936357
Intersección (1008,): 9.353598
Intersección (1020,): 0.593710
Intersección (1211,): 9.665812
Intersección (1223,): -63.480145
Intersección (1259,): 13.041336
Intersección (1271,): -15.121791
