Intersección (153,): -0.333216
Intersección (165,): -3.114654
Intersección (177,): 3.369354
Intersección (189,): -337.690425
Intersección (201,): 6.788992
Intersección (213,): -77.144156
Intersección (225,): 4.193742
Intersección (237,): 9.873175
Intersección (348,): 1.679044
Intersección (361,): -6.078578
Intersección (386,): 1.799200
Intersección (399,): -14.237785
Intersección (456,): 4.600262
Intersección (480,): 0.168507
Intersección (516,): 0.426370
Intersección (540,): -16.558148
Intersección (598,): -14.308094
Intersección (599,): 2.930219
Intersección (691,): 0.394156
Intersección (716,): -8.837438
Intersección (728,): -2.550426
Intersección (753,): -0.734795
Intersección (810,): 26.224543
Intersección (834,): 14.968823
Intersección (859,): 12.304292
Intersección (883,): 1.363102
Intersección (936,): -2.769648
Intersección (948,): 14.677463
Intersección (960,): 10.606840
Intersección (972,): -32.529004
Intersección (984,): 5.957507
Intersección (996,): -3.730810
Intersección (1008,): -4.399071
Intersección (1020,): -0.628166
Intersección (1211,): -2.829467
Intersección (1223,): 8.223882
Intersección (1259,): 14.373359
Intersección (1271,): 3.470367
