Intersección (153,): 50.745120
Intersección (165,): 1.700911
Intersección (177,): 4.611381
Intersección (189,): -589.425325
Intersección (201,): 7.968187
Intersección (213,): 61.073953
Intersección (225,): -0.858846
Intersección (237,): 16.462282
Intersección (348,): 40.292012
Intersección (361,): 5.299323
Intersección (386,): 0.472146
Intersección (399,): 22.026136
Intersección (456,): -1.043615
Intersección (480,): 0.193563
Intersección (516,): -0.611455
Intersección (540,): 5.508301
Intersección (598,): 30.994693
Intersección (599,): 5.281906
Intersección (691,): 0.242630
Intersección (716,): -13.492032
Intersección (728,): 2.215346
Intersección (753,): 1.288480
Intersección (810,): -22.726760
Intersección (834,): 4.569288
Intersección (859,): 8.331795
Intersección (883,): -2.906018
Intersección (936,): 9.823471
Intersección (948,): -7.588202
Intersección (960,): -0.776965
Intersección (972,): -39.268162
Intersección (984,): 5.423167
Intersección (996,): 9.150582
Intersección (1008,): 71.076397
Intersección (1020,): 5.805801
Intersección (1211,): 5.567093
Intersección (1223,): -7.534395
Intersección (1259,): 24.098524
Intersección (1271,): 1.640304
