Intersección (153,): 8.458277
Intersección (165,): 0.136750
Intersección (177,): -0.198782
Intersección (189,): 1.165167
Intersección (201,): -0.012421
Intersección (213,): 0.323586
Intersección (225,): 0.387146
Intersección (237,): -9.406040
Intersección (348,): -6.253209
Intersección (361,): -0.141942
Intersección (386,): 0.433146
Intersección (399,): 3.875636
Intersección (456,): 0.853229
Intersección (480,): -1.151340
Intersección (516,): 0.072493
Intersección (540,): 0.615757
Intersección (598,): -1.625981
Intersección (599,): -2.065210
Intersección (691,): -2.053849
Intersección (716,): 0.344234
Intersección (728,): -0.524668
Intersección (753,): 1.569292
Intersección (810,): -0.152285
Intersección (834,): -0.988677
Intersección (859,): 1.127764
Intersección (883,): -0.545782
Intersección (936,): 4.909206
Intersección (948,): -6.704614
Intersección (960,): 0.234584
Intersección (972,): 3.238261
Intersección (984,): 0.567293
Intersección (996,): -0.823816
Intersección (1008,): 3.303700
Intersección (1020,): -0.879148
Intersección (1211,): -0.033106
Intersección (1223,): 0.085283
Intersección (1259,): 0.004729
Intersección (1271,): 15.858467
