Intersección (153,): 0.105519
Intersección (165,): 0.016167
Intersección (177,): -0.034043
Intersección (189,): 0.005320
Intersección (201,): 0.467771
Intersección (213,): -1.448623
Intersección (225,): -0.214243
Intersección (237,): -0.068076
Intersección (348,): 0.052780
Intersección (361,): 0.002937
Intersección (386,): -0.188349
Intersección (399,): -0.071148
Intersección (456,): -0.051331
Intersección (480,): 0.000997
Intersección (516,): -0.003707
Intersección (540,): -0.747238
Intersección (598,): -0.032757
Intersección (599,): -0.042017
Intersección (691,): -0.001143
Intersección (716,): 0.001306
Intersección (728,): 0.065058
Intersección (753,): 0.008736
Intersección (810,): -0.692467
Intersección (834,): -0.015872
Intersección (859,): -0.087892
Intersección (883,): 0.009302
Intersección (936,): 0.040882
Intersección (948,): -0.100327
Intersección (960,): 0.008911
Intersección (972,): 0.059190
Intersección (984,): 0.032131
Intersección (996,): -0.024411
Intersección (1008,): 0.253068
Intersección (1020,): -0.949252
Intersección (1211,): -0.007382
Intersección (1223,): -0.138889
Intersección (1259,): -0.207036
Intersección (1271,): 0.382090
