Intersección (153,): -0.776423
Intersección (165,): 0.034453
Intersección (177,): 0.153960
Intersección (189,): 0.722949
Intersección (201,): -0.126884
Intersección (213,): -0.037802
Intersección (225,): -0.023857
Intersección (237,): 0.854597
Intersección (348,): -0.144539
Intersección (361,): 0.976825
Intersección (386,): -0.077156
Intersección (399,): -0.475410
Intersección (456,): -0.554079
Intersección (480,): 0.010911
Intersección (516,): 0.009798
Intersección (540,): 0.045193
Intersección (598,): 0.216843
Intersección (599,): 0.200222
Intersección (691,): -0.009072
Intersección (716,): -0.380577
Intersección (728,): -0.105229
Intersección (753,): 0.021056
Intersección (810,): -0.211610
Intersección (834,): 0.150559
Intersección (859,): -0.123805
Intersección (883,): 0.007517
Intersección (936,): -0.145360
Intersección (948,): 0.201715
Intersección (960,): 0.241417
Intersección (972,): 2.229616
Intersección (984,): 0.278690
Intersección (996,): 0.056698
Intersección (1008,): -0.907619
Intersección (1020,): -0.013757
Intersección (1211,): 0.006856
Intersección (1223,): 0.073401
Intersección (1259,): 0.260215
Intersección (1271,): -0.019924
