Intersección (153,): 0.053466
Intersección (165,): 0.076728
Intersección (177,): -1.000667
Intersección (189,): -0.241444
Intersección (201,): -0.083944
Intersección (213,): 0.074048
Intersección (225,): 0.044272
Intersección (237,): 0.137957
Intersección (348,): -0.021411
Intersección (361,): 0.062762
Intersección (386,): 0.034987
Intersección (399,): 0.158214
Intersección (456,): -0.030004
Intersección (480,): -0.015187
Intersección (516,): 0.125891
Intersección (540,): -0.171199
Intersección (598,): -0.125026
Intersección (599,): -0.231994
Intersección (691,): -0.008526
Intersección (716,): -0.092406
Intersección (728,): 0.273309
Intersección (753,): -0.041043
Intersección (810,): -0.088274
Intersección (834,): -0.022802
Intersección (859,): 0.575047
Intersección (883,): 0.033533
Intersección (936,): -0.103661
Intersección (948,): 0.042086
Intersección (960,): -0.499931
Intersección (972,): 0.087951
Intersección (984,): 0.575372
Intersección (996,): 0.079469
Intersección (1008,): -0.513975
Intersección (1020,): 0.143228
Intersección (1211,): -0.002079
Intersección (1223,): 0.164155
Intersección (1259,): 0.338889
Intersección (1271,): -0.106267
