Intersección (153,): -0.008282
Intersección (165,): -0.148615
Intersección (177,): -0.036294
Intersección (189,): -0.209327
Intersección (201,): -0.183891
Intersección (213,): 0.020674
Intersección (225,): -0.008319
Intersección (237,): -0.167527
Intersección (348,): 0.240194
Intersección (361,): 0.008871
Intersección (386,): 0.026274
Intersección (399,): -0.020819
Intersección (456,): 0.122056
Intersección (480,): 0.001118
Intersección (516,): 0.007719
Intersección (540,): 0.197573
Intersección (598,): 0.059093
Intersección (599,): -0.024979
Intersección (691,): 0.006352
Intersección (716,): 0.017793
Intersección (728,): 0.001453
Intersección (753,): -0.007936
Intersección (810,): 0.065405
Intersección (834,): -0.031833
Intersección (859,): 0.250312
Intersección (883,): 0.016300
Intersección (936,): 0.197786
Intersección (948,): 0.159050
Intersección (960,): 0.036076
Intersección (972,): 0.056632
Intersección (984,): 1.605850
Intersección (996,): 0.014903
Intersección (1008,): 0.144246
Intersección (1020,): 0.006684
Intersección (1211,): 0.001542
Intersección (1223,): -0.149382
Intersección (1259,): 0.386657
Intersección (1271,): -0.110053
