Intersección (153,): 2.060139
Intersección (165,): -0.031895
Intersección (177,): -0.086412
Intersección (189,): -1.398578
Intersección (201,): -0.967869
Intersección (213,): -0.044656
Intersección (225,): -0.020423
Intersección (237,): 0.103310
Intersección (348,): 0.138382
Intersección (361,): -0.023934
Intersección (386,): 0.025041
Intersección (399,): 1.414051
Intersección (456,): 0.043077
Intersección (480,): 0.019142
Intersección (516,): 0.012148
Intersección (540,): -0.286385
Intersección (598,): -0.285510
Intersección (599,): 0.234152
Intersección (691,): 0.003687
Intersección (716,): 0.157661
Intersección (728,): 0.220001
Intersección (753,): 0.030465
Intersección (810,): 0.327207
Intersección (834,): -1.321909
Intersección (859,): -0.113955
Intersección (883,): 0.170605
Intersección (936,): -0.349818
Intersección (948,): -0.434524
Intersección (960,): 0.462149
Intersección (972,): -0.238613
Intersección (984,): 0.578425
Intersección (996,): -0.037149
Intersección (1008,): -0.322588
Intersección (1020,): -0.078700
Intersección (1211,): -0.059956
Intersección (1223,): 0.033789
Intersección (1259,): -1.751103
Intersección (1271,): 0.280038
