Intersección (153,): 0.207991
Intersección (165,): -0.024607
Intersección (177,): 0.224923
Intersección (189,): 0.551090
Intersección (201,): -0.324618
Intersección (213,): 1.424633
Intersección (225,): -0.068009
Intersección (237,): 0.931351
Intersección (348,): -0.364774
Intersección (361,): -0.054943
Intersección (386,): -0.072349
Intersección (399,): 0.070066
Intersección (456,): 0.343998
Intersección (480,): 0.023753
Intersección (516,): 0.006403
Intersección (540,): 0.249989
Intersección (598,): -0.675374
Intersección (599,): 0.152719
Intersección (691,): -0.001983
Intersección (716,): -0.005153
Intersección (728,): 0.410325
Intersección (753,): 0.030611
Intersección (810,): -0.211545
Intersección (834,): -0.127530
Intersección (859,): 0.579842
Intersección (883,): -0.032414
Intersección (936,): 0.517708
Intersección (948,): -0.035458
Intersección (960,): 0.494141
Intersección (972,): -0.517375
Intersección (984,): 0.111876
Intersección (996,): 0.536938
Intersección (1008,): -0.262422
Intersección (1020,): 0.056756
Intersección (1211,): 0.000119
Intersección (1223,): -0.139701
Intersección (1259,): 0.006156
Intersección (1271,): -0.045011
