Intersección (153,): 1.024917
Intersección (165,): 3.236238
Intersección (177,): -0.177098
Intersección (189,): -0.976774
Intersección (201,): 2.902418
Intersección (213,): 0.672288
Intersección (225,): 0.106778
Intersección (237,): -0.429172
Intersección (348,): -24.639240
Intersección (361,): 0.500242
Intersección (386,): 0.378022
Intersección (399,): 0.741091
Intersección (456,): -6.466104
Intersección (480,): -0.010529
Intersección (516,): -0.593018
Intersección (540,): -1.084975
Intersección (598,): -6.059941
Intersección (599,): 0.717804
Intersección (691,): 0.223262
Intersección (716,): 0.382086
Intersección (728,): -3.898807
Intersección (753,): 0.201728
Intersección (810,): -0.918167
Intersección (834,): -3.960756
Intersección (859,): 2.838466
Intersección (883,): -0.398318
Intersección (936,): 7.361235
Intersección (948,): -1.307605
Intersección (960,): 5.384222
Intersección (972,): -1.822032
Intersección (984,): 15.599606
Intersección (996,): -0.220464
Intersección (1008,): -1.059526
Intersección (1020,): 0.145126
Intersección (1211,): -0.067875
Intersección (1223,): -2.479932
Intersección (1259,): -0.199110
Intersección (1271,): 0.692573
