Intersección (153,): 2.741748
Intersección (165,): -0.607479
Intersección (177,): 2.013878
Intersección (189,): -1.924417
Intersección (201,): -2.139095
Intersección (213,): 19.439131
Intersección (225,): -0.548196
Intersección (237,): 15.445116
Intersección (348,): -9.204134
Intersección (361,): 3.218824
Intersección (386,): 0.034006
Intersección (399,): 0.107376
Intersección (456,): -2.414820
Intersección (480,): -0.357443
Intersección (516,): -0.987066
Intersección (540,): -23.667189
Intersección (598,): 0.595651
Intersección (599,): 1.350501
Intersección (691,): -0.181943
Intersección (716,): 0.221375
Intersección (728,): 1.034271
Intersección (753,): 0.165454
Intersección (810,): 0.312845
Intersección (834,): -0.620544
Intersección (859,): -0.780002
Intersección (883,): 0.438281
Intersección (936,): 3.541450
Intersección (948,): 2.832066
Intersección (960,): -3.374583
Intersección (972,): 46.605371
Intersección (984,): -9.526830
Intersección (996,): 0.634022
Intersección (1008,): -16.338610
Intersección (1020,): 0.667779
Intersección (1211,): 0.698870
Intersección (1223,): 1.126880
Intersección (1259,): 2.057319
Intersección (1271,): 0.320258
