Intersección (153,): -1.248478
Intersección (165,): -1.981281
Intersección (177,): 0.930032
Intersección (189,): -1.483687
Intersección (201,): 0.286357
Intersección (213,): 0.993995
Intersección (225,): 0.197971
Intersección (237,): -4.214720
Intersección (348,): -0.941202
Intersección (361,): -0.109148
Intersección (386,): -0.095565
Intersección (399,): -0.034600
Intersección (456,): -0.348744
Intersección (480,): -0.183596
Intersección (516,): 0.011681
Intersección (540,): -0.286924
Intersección (598,): -0.057704
Intersección (599,): 1.387668
Intersección (691,): -0.133728
Intersección (716,): 0.065837
Intersección (728,): -0.442114
Intersección (753,): -0.059735
Intersección (810,): -17.078868
Intersección (834,): -1.537291
Intersección (859,): -1.450878
Intersección (883,): 0.087126
Intersección (936,): 1.917822
Intersección (948,): 0.336490
Intersección (960,): -5.342164
Intersección (972,): 0.131956
Intersección (984,): 8.778706
Intersección (996,): 0.360004
Intersección (1008,): -1.036178
Intersección (1020,): 0.028460
Intersección (1211,): 0.101682
Intersección (1223,): -0.648662
Intersección (1259,): 2.064373
Intersección (1271,): 5.562093
