Intersección (153,): -0.502177
Intersección (165,): 0.110249
Intersección (177,): -0.046163
Intersección (189,): -0.296588
Intersección (201,): -0.626873
Intersección (213,): -1.276541
Intersección (225,): 0.018511
Intersección (237,): 0.455081
Intersección (348,): 1.803436
Intersección (361,): 0.087795
Intersección (386,): 0.022864
Intersección (399,): 0.187075
Intersección (456,): -0.214557
Intersección (480,): -0.002565
Intersección (516,): -0.016875
Intersección (540,): 0.498176
Intersección (598,): -0.224439
Intersección (599,): -0.312172
Intersección (691,): -0.069301
Intersección (716,): -0.050975
Intersección (728,): 0.091681
Intersección (753,): 0.081643
Intersección (810,): 0.136360
Intersección (834,): -0.231372
Intersección (859,): -1.400701
Intersección (883,): 0.040782
Intersección (936,): 0.010691
Intersección (948,): -0.069923
Intersección (960,): -0.149421
Intersección (972,): 0.621624
Intersección (984,): -0.212850
Intersección (996,): 0.100679
Intersección (1008,): -0.022135
Intersección (1020,): -0.194425
Intersección (1211,): -0.014082
Intersección (1223,): 0.132456
Intersección (1259,): -3.785189
Intersección (1271,): -0.092637
