Intersección (153,): 1.085467
Intersección (165,): 0.050661
Intersección (177,): 0.432363
Intersección (189,): 1.391875
Intersección (201,): 0.294138
Intersección (213,): 0.175765
Intersección (225,): 0.150559
Intersección (237,): -0.685378
Intersección (348,): -0.824141
Intersección (361,): 0.024022
Intersección (386,): 0.025396
Intersección (399,): 0.890603
Intersección (456,): -0.461243
Intersección (480,): -0.018750
Intersección (516,): 0.003341
Intersección (540,): -0.088801
Intersección (598,): 0.350888
Intersección (599,): -0.027425
Intersección (691,): -0.003721
Intersección (716,): 0.013480
Intersección (728,): -0.171049
Intersección (753,): 0.003983
Intersección (810,): -0.453111
Intersección (834,): -0.035856
Intersección (859,): 0.093370
Intersección (883,): 0.027716
Intersección (936,): -0.351437
Intersección (948,): 1.460089
Intersección (960,): -0.656592
Intersección (972,): 0.624154
Intersección (984,): 0.327117
Intersección (996,): -0.047666
Intersección (1008,): 1.448874
Intersección (1020,): -0.009359
Intersección (1211,): -0.016728
Intersección (1223,): -0.570281
Intersección (1259,): 0.074366
Intersección (1271,): -0.039831
