Intersección (153,): 1.646802
Intersección (165,): 1.844814
Intersección (177,): 0.527339
Intersección (189,): -0.118456
Intersección (201,): 0.830546
Intersección (213,): 0.453590
Intersección (225,): -4.045335
Intersección (237,): 2.041372
Intersección (348,): -17.739210
Intersección (361,): 0.347538
Intersección (386,): 0.626872
Intersección (399,): 1.668163
Intersección (456,): -24.625346
Intersección (480,): 0.133429
Intersección (516,): 0.105203
Intersección (540,): 2.319408
Intersección (598,): 0.099141
Intersección (599,): -2.501791
Intersección (691,): -0.276681
Intersección (716,): -2.555380
Intersección (728,): 1.299286
Intersección (753,): -0.003081
Intersección (810,): 7.780602
Intersección (834,): -4.414262
Intersección (859,): 0.344029
Intersección (883,): 1.823282
Intersección (936,): -15.752166
Intersección (948,): 2.223239
Intersección (960,): -5.247247
Intersección (972,): -1.112358
Intersección (984,): -9.874229
Intersección (996,): 1.945035
Intersección (1008,): -3.623787
Intersección (1020,): 0.536872
Intersección (1211,): 0.221909
Intersección (1223,): 13.895289
Intersección (1259,): 2.951952
Intersección (1271,): -0.600759
