Intersección (153,): -0.059818
Intersección (165,): 5.447413
Intersección (177,): -2.916813
Intersección (189,): -1.494115
Intersección (201,): 1.287086
Intersección (213,): 1.830904
Intersección (225,): 0.279429
Intersección (237,): -3.715514
Intersección (348,): 0.208055
Intersección (361,): -0.245340
Intersección (386,): 0.286930
Intersección (399,): 0.919510
Intersección (456,): 3.578574
Intersección (480,): -0.164998
Intersección (516,): 0.649199
Intersección (540,): 0.121612
Intersección (598,): 0.216327
Intersección (599,): -2.407402
Intersección (691,): 0.187405
Intersección (716,): 0.432751
Intersección (728,): 2.505782
Intersección (753,): -0.022970
Intersección (810,): 1.383219
Intersección (834,): -0.366786
Intersección (859,): 0.746026
Intersección (883,): 0.097010
Intersección (936,): 2.094887
Intersección (948,): 0.427349
Intersección (960,): 9.579971
Intersección (972,): -0.510948
Intersección (984,): 11.126026
Intersección (996,): -2.798834
Intersección (1008,): 2.011429
Intersección (1020,): 0.968558
Intersección (1211,): 0.136261
Intersección (1223,): 4.968052
Intersección (1259,): 0.439316
Intersección (1271,): -0.095815
