Intersección (153,): -0.765969
Intersección (165,): -0.156204
Intersección (177,): 2.060981
Intersección (189,): 1.731231
Intersección (201,): 1.709758
Intersección (213,): 3.511005
Intersección (225,): 0.313358
Intersección (237,): -14.495024
Intersección (348,): 22.219597
Intersección (361,): 2.043461
Intersección (386,): 0.762866
Intersección (399,): 0.526267
Intersección (456,): -6.230591
Intersección (480,): -0.168434
Intersección (516,): 2.594594
Intersección (540,): -0.808039
Intersección (598,): 2.073624
Intersección (599,): -0.702057
Intersección (691,): 0.306827
Intersección (716,): 1.513695
Intersección (728,): -1.483120
Intersección (753,): 0.259538
Intersección (810,): 2.853086
Intersección (834,): 3.323394
Intersección (859,): -0.550972
Intersección (883,): 0.279401
Intersección (936,): 2.974359
Intersección (948,): 0.843349
Intersección (960,): -2.822475
Intersección (972,): 0.688687
Intersección (984,): -7.861884
Intersección (996,): 1.091477
Intersección (1008,): -9.703773
Intersección (1020,): 8.966024
Intersección (1211,): 2.150846
Intersección (1223,): -1.572522
Intersección (1259,): -1.720403
Intersección (1271,): 0.535047
