Intersección (153,): 4.721255
Intersección (165,): 3.932370
Intersección (177,): 0.668489
Intersección (189,): 4.551381
Intersección (201,): -0.126479
Intersección (213,): 0.210327
Intersección (225,): 0.287454
Intersección (237,): 3.572358
Intersección (348,): 1.270875
Intersección (361,): -0.350480
Intersección (386,): 0.063447
Intersección (399,): 0.203307
Intersección (456,): -8.008189
Intersección (480,): 0.203598
Intersección (516,): 0.225211
Intersección (540,): -0.062826
Intersección (598,): 0.477969
Intersección (599,): 6.966132
Intersección (691,): 0.036529
Intersección (716,): -0.338601
Intersección (728,): 0.367164
Intersección (753,): 0.059428
Intersección (810,): 10.790567
Intersección (834,): 5.190568
Intersección (859,): -5.651567
Intersección (883,): 0.551218
Intersección (936,): -1.244328
Intersección (948,): 2.364157
Intersección (960,): -4.047468
Intersección (972,): -1.227068
Intersección (984,): -20.664622
Intersección (996,): 1.323737
Intersección (1008,): -0.341484
Intersección (1020,): -1.780063
Intersección (1211,): 0.026974
Intersección (1223,): -3.522184
Intersección (1259,): -2.398032
Intersección (1271,): 1.553945
