Intersección (153,): -0.142251
Intersección (165,): 0.079194
Intersección (177,): 0.050047
Intersección (189,): -1.234472
Intersección (201,): -0.484616
Intersección (213,): 0.420616
Intersección (225,): 0.024163
Intersección (237,): 0.697110
Intersección (348,): -0.329115
Intersección (361,): -0.028424
Intersección (386,): -0.043128
Intersección (399,): 1.001519
Intersección (456,): -0.067669
Intersección (480,): -0.097269
Intersección (516,): 0.152523
Intersección (540,): 0.356744
Intersección (598,): 0.427057
Intersección (599,): 0.107603
Intersección (691,): 0.007879
Intersección (716,): 0.076149
Intersección (728,): -0.540007
Intersección (753,): -0.005083
Intersección (810,): 0.341589
Intersección (834,): 0.105086
Intersección (859,): 0.943878
Intersección (883,): 0.417047
Intersección (936,): -0.148911
Intersección (948,): -0.143839
Intersección (960,): 0.245179
Intersección (972,): 1.273785
Intersección (984,): -0.043478
Intersección (996,): 0.102607
Intersección (1008,): -1.169284
Intersección (1020,): -0.000091
Intersección (1211,): -0.003248
Intersección (1223,): -0.282284
Intersección (1259,): -0.789176
Intersección (1271,): 0.176314
