Intersección (153,): -0.050222
Intersección (165,): 5.970187
Intersección (177,): 1.412383
Intersección (189,): 2.522964
Intersección (201,): 2.663023
Intersección (213,): 3.155240
Intersección (225,): 1.105378
Intersección (237,): 2.476813
Intersección (348,): 4.679478
Intersección (361,): 0.839902
Intersección (386,): -0.123003
Intersección (399,): 2.126089
Intersección (456,): 34.883191
Intersección (480,): -0.053302
Intersección (516,): -0.267555
Intersección (540,): -1.842408
Intersección (598,): 0.336370
Intersección (599,): -3.181738
Intersección (691,): 0.043744
Intersección (716,): 1.723986
Intersección (728,): -1.080229
Intersección (753,): 0.066949
Intersección (810,): 3.391282
Intersección (834,): -0.393283
Intersección (859,): 1.323352
Intersección (883,): 0.908627
Intersección (936,): -3.190537
Intersección (948,): 1.215584
Intersección (960,): -4.756363
Intersección (972,): 3.072832
Intersección (984,): -4.722044
Intersección (996,): 0.871501
Intersección (1008,): -4.242031
Intersección (1020,): -0.186107
Intersección (1211,): 1.637145
Intersección (1223,): 0.322923
Intersección (1259,): -6.361380
Intersección (1271,): 0.462676
