Intersección (153,): 9.263920
Intersección (165,): 0.071850
Intersección (177,): -1.917661
Intersección (189,): -1.284839
Intersección (201,): -0.102298
Intersección (213,): 0.630587
Intersección (225,): 0.587254
Intersección (237,): -9.896943
Intersección (348,): -8.849649
Intersección (361,): -0.082300
Intersección (386,): 0.002458
Intersección (399,): 5.581894
Intersección (456,): 0.496398
Intersección (480,): -0.979673
Intersección (516,): -0.007394
Intersección (540,): -0.169813
Intersección (598,): 0.049059
Intersección (599,): -1.810087
Intersección (691,): -2.116177
Intersección (716,): 0.456947
Intersección (728,): 1.606545
Intersección (753,): 1.786951
Intersección (810,): 3.270157
Intersección (834,): 0.309991
Intersección (859,): 1.145979
Intersección (883,): -0.294324
Intersección (936,): 6.245064
Intersección (948,): -4.700798
Intersección (960,): 0.131637
Intersección (972,): 5.801954
Intersección (984,): 1.348594
Intersección (996,): -0.796460
Intersección (1008,): 7.968919
Intersección (1020,): -0.798967
Intersección (1211,): -0.098411
Intersección (1223,): 0.407640
Intersección (1259,): 1.826573
Intersección (1271,): 15.237090
