Intersección (153,): -4.500739
Intersección (165,): -0.293256
Intersección (177,): 1.284303
Intersección (189,): 0.880707
Intersección (201,): -0.639502
Intersección (213,): 3.673718
Intersección (225,): 0.023265
Intersección (237,): -1.269094
Intersección (348,): -2.694636
Intersección (361,): 0.295894
Intersección (386,): 0.946420
Intersección (399,): 0.346534
Intersección (456,): 1.644140
Intersección (480,): -0.419867
Intersección (516,): -0.026270
Intersección (540,): -0.994140
Intersección (598,): 0.566387
Intersección (599,): -1.778975
Intersección (691,): -0.138629
Intersección (716,): -0.479961
Intersección (728,): -1.046593
Intersección (753,): 1.182909
Intersección (810,): -1.282005
Intersección (834,): 4.216629
Intersección (859,): 8.603725
Intersección (883,): 0.441694
Intersección (936,): 0.853490
Intersección (948,): 13.656652
Intersección (960,): 50.492357
Intersección (972,): -2.852895
Intersección (984,): 32.259394
Intersección (996,): -0.454212
Intersección (1008,): 22.081789
Intersección (1020,): -0.369653
Intersección (1211,): -0.235833
Intersección (1223,): -1.362908
Intersección (1259,): 5.683144
Intersección (1271,): 1.967884
