Intersección (153,): 50.482875
Intersección (165,): 32.404075
Intersección (177,): 14.331546
Intersección (189,): 14.302074
Intersección (201,): 5.166330
Intersección (213,): 20.522135
Intersección (225,): 3.346748
Intersección (237,): -65.317693
Intersección (348,): 14.867573
Intersección (361,): 2.051667
Intersección (386,): 7.582467
Intersección (399,): 5.339297
Intersección (456,): -6.514970
Intersección (480,): 1.160702
Intersección (516,): -0.134779
Intersección (540,): 4.143103
Intersección (598,): -2.143051
Intersección (599,): 3.374830
Intersección (691,): 0.897093
Intersección (716,): 4.580600
Intersección (728,): 4.959288
Intersección (753,): 1.758351
Intersección (810,): 4.679046
Intersección (834,): 25.694012
Intersección (859,): -17.012410
Intersección (883,): 12.667214
Intersección (936,): 7.172425
Intersección (948,): -1.267471
Intersección (960,): -8.452994
Intersección (972,): 12.710705
Intersección (984,): -58.366621
Intersección (996,): 18.342935
Intersección (1008,): 2.830316
Intersección (1020,): 0.091031
Intersección (1211,): 8.752307
Intersección (1223,): 4.878045
Intersección (1259,): -74.450383
Intersección (1271,): 1.740629
