Intersección (153,): 8.676902
Intersección (165,): -0.845957
Intersección (177,): 13.188097
Intersección (189,): 16.701460
Intersección (201,): 23.370031
Intersección (213,): -0.646516
Intersección (225,): 1.396316
Intersección (237,): 24.885361
Intersección (348,): -2.990885
Intersección (361,): 1.659101
Intersección (386,): 1.766255
Intersección (399,): 3.875849
Intersección (456,): -26.168173
Intersección (480,): 0.809695
Intersección (516,): 0.748651
Intersección (540,): 3.373256
Intersección (598,): -14.730944
Intersección (599,): 1.682871
Intersección (691,): 0.259540
Intersección (716,): -5.281737
Intersección (728,): 8.580056
Intersección (753,): 0.114440
Intersección (810,): 4.380673
Intersección (834,): -0.749602
Intersección (859,): -27.587950
Intersección (883,): 4.725771
Intersección (936,): 16.799059
Intersección (948,): 16.933959
Intersección (960,): -33.793410
Intersección (972,): 0.635987
Intersección (984,): -40.059104
Intersección (996,): 4.342359
Intersección (1008,): 35.228538
Intersección (1020,): 17.917284
Intersección (1211,): -3.643933
Intersección (1223,): -11.177375
Intersección (1259,): 0.779033
Intersección (1271,): -3.010037
